"1","Tokyo","Japan","37274000","37339804","-0.0018"
"2","Delhi","India","32065760","31181376","0.0284"
"3","Shanghai","China","28516904","27795702","0.0259"
"4","Dhaka","Bangladesh","22478116","21741090","0.0339"
"5","Sao Paulo","Brazil","22429800","22237472","0.0086"
"6","Mexico City","Mexico","22085140","21918936","0.0076"
"7","Cairo","Egypt","21750020","21322750","0.0200"
"8","Beijing","China","21333332","20896820","0.0209"
"9","Mumbai","India","20961472","20667656","0.0142"
"10","Osaka","Japan","19059856","19110616","-0.0027"
"11","Chongqing","China","16874740","16382376","0.0301"
"12","Karachi","Pakistan","16839950","16459472","0.0231"
"13","Istanbul","Turkey","15636243","15415197","0.0143"
"14","Kinshasa","DR Congo","15628085","14970460","0.0439"
"15","Lagos","Nigeria","15387639","14862111","0.0354"
"16","Buenos Aires","Argentina","15369919","15257673","0.0074"
"17","Kolkata","India","15133888","14974073","0.0107"
"18","Manila","Philippines","14406059","14158573","0.0175"
"19","Tianjin","China","14011828","13794450","0.0158"
"20","Guangzhou","China","13964637","13635397","0.0241"
"21","Rio de Janeiro","Brazil","13634274","13544462","0.0066"
"22","Lahore","Pakistan","13541764","13095166","0.0341"
"23","Bangalore","India","13193035","12764935","0.0335"
"24","Shenzhen","China","12831330","12591696","0.0190"
"25","Moscow","Russia","12640818","12593252","0.0038"
"26","Chennai","India","11503293","11235018","0.0239"
"27","Bogota","Colombia","11344312","11167392","0.0158"
"28","Paris","France","11142303","11078546","0.0058"
"29","Jakarta","Indonesia","11074811","10915364","0.0146"
"30","Lima","Peru","11044607","10882757","0.0149"
"31","Bangkok","Thailand","10899698","10722815","0.0165"
"32","Hyderabad","India","10534418","10268653","0.0259"
"33","Seoul","South Korea","9975709","9967677","0.0008"
"34","Nagoya","Japan","9571596","9565642","0.0006"
"35","London","United Kingdom","9540576","9425622","0.0122"
"36","Chengdu","China","9478521","9305116","0.0186"
"37","Nanjing","China","9429381","9143980","0.0312"
"38","Tehran","Iran","9381546","9259009","0.0132"
"39","Ho Chi Minh City","Vietnam","9077158","8837544","0.0271"
"40","Luanda","Angola","8952496","8631876","0.0371"
"41","New York City","United States","8930002","8867096","0.00709"
"42","Wuhan","China","8591611","8473405","0.0140"
"43","Ahmedabad","India","8450228","8253226","0.0239"
"44","Kuala Lumpur","Malaysia","8419566","8210745","0.0254"
"45","Hangzhou","China","8044878","7845501","0.0254"
"46","Surat","India","7784276","7489742","0.0393"
"47","Suzhou","China","7764499","7427096","0.0454"
"48","Hong Kong","Hong Kong","7643256","7598189","0.0059"
"49","Riyadh","Saudi Arabia","7538200","7387817","0.0204"
"50","Shenyang","China","7527975","7373655","0.0209"
